PuzzleId,FEN,Moves,Rating,ThemeList
E0QD1,r2q1r2/ppp1b1k1/3p1n1p/3NP1p1/6b1/1P6/PBQ3PP/3R1RK1 b - - 0 21,d6e5 d5f6 e7f6 d1d8,1366,"[""advantage"", ""discoveredAttack"", ""middlegame"", ""short""]"
XhM6W,r4rk1/ppq2p1n/1bp1p1pQ/6P1/8/3B3P/1PP5/R1B2R1K b - - 1 25,c7g3 c1f4 g3d3 c2d3,1986,"[""advantage"", ""middlegame"", ""short"", ""trappedPiece""]"
SKRw7,8/3p2r1/p2kp3/1p6/2pP1KP1/P1P2R2/1P3R2/4r3 w - - 1 46,f3g3 g7f7 f4g5 f7f2,1252,"[""crushing"", ""endgame"", ""master"", ""rookEndgame"", ""short"", ""skewer""]"
EsUKO,r3r1k1/pp4p1/6p1/2p5/2P5/1Q1P2Rn/P5PP/5RqK w - - 8 38,f1g1 h3f2,896,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove"", ""smotheredMate""]"
KfWrV,7r/1p1r2k1/p2p1p2/2p2Pp1/2PqP1Q1/1P4P1/P5K1/1R3R2 w - - 0 36,b1d1 d4b2 f1f2 h8h2 g2h2 b2f2,1228,"[""attraction"", ""crushing"", ""deflection"", ""endgame"", ""long""]"
j13k3,5nk1/7p/2p3p1/3p4/1q6/1r6/2Q2PPP/4RBK1 w - - 2 39,c2c6 b4e1 c6d5 e1e6,1450,"[""crushing"", ""endgame"", ""short""]"
9nImC,r4rk1/p3bp2/1p2pn1p/4B1p1/3N4/3R4/qP3PPP/2RQ2K1 b - - 1 21,a2a5 d4c6 a5e5 c6e5,1642,"[""crushing"", ""fork"", ""middlegame"", ""short""]"
YuPyb,r2q1rk1/pbb1nppp/8/1B6/3pN3/3P4/PPP2PPP/R1BQ1RK1 w - - 2 12,d1g4 f7f5 g4h4 f5e4,1744,"[""advantage"", ""fork"", ""master"", ""opening"", ""short""]"
OgJCO,8/8/2p4p/1p1rk1p1/3R4/2P3KP/1P3P2/8 w - - 0 38,f2f4 g5f4 d4f4 d5d3 f4f3 e5e4 f3d3 e4d3,2271,"[""crushing"", ""endgame"", ""rookEndgame"", ""veryLong""]"
ywex5,8/8/p6k/P1p2p2/2P2PpP/2P5/6K1/8 w - - 3 47,g2g3 h6h5 g3f2 h5h4 f2g2 g4g3,1034,"[""crushing"", ""endgame"", ""long"", ""pawnEndgame"", ""zugzwang""]"
9EiQy,5r2/1pp4k/p4r2/5p1p/PPPPp3/4P1qp/4QRP1/5RK1 w - - 0 37,e2h5 f6h6 h5h6 h7h6,768,"[""crushing"", ""defensiveMove"", ""endgame"", ""master"", ""short""]"
DUSen,2kr1r2/ppp3Rp/8/8/8/2P5/PP4PP/R2q2K1 w - - 1 21,a1d1 d8d1,679,"[""endgame"", ""master"", ""mate"", ""mateIn1"", ""oneMove"", ""rookEndgame""]"
W8qbL,8/8/3K4/3BpR2/4P1k1/p2r4/8/2b5 w - - 1 57,d6e5 d3d5 e5d5 a3a2 f5f1 a2a1q,1911,"[""advancedPawn"", ""crushing"", ""endgame"", ""long"", ""promotion"", ""sacrifice""]"
wFj65,r2q1rk1/1p1bb1p1/p1n1pp1p/3pP3/3P3N/P1NBP3/1PQ3PP/R4R1K b - - 1 15,f6e5 d3h7 g8h8 h4g6 h8h7 g6f8 h7h8 c2h7,1826,"[""discoveredCheck"", ""doubleCheck"", ""fork"", ""mate"", ""mateIn4"", ""middlegame"", ""veryLong""]"
FUkxT,r3k2r/pp3ppp/2nbpn2/7q/2BP4/1N3b2/PP3PPP/R1BQ1RK1 w kq - 0 12,d1f3 h5h2,1148,"[""kingsideAttack"", ""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
gvBoF,r4bk1/2q1r3/2p2pPp/1p1p1B2/p2Pp1P1/2P5/PP1Q1P2/1K1R3R w - - 4 31,h1h6 e4e3 d2e3 e7e3,1729,"[""advantage"", ""middlegame"", ""short""]"
ryWoC,5rk1/5rp1/4p3/p2pP2p/1p1Pq3/1P2QN1P/P5P1/5RBK w - - 0 29,f3g5 e4e3 g1e3 f7f1,1594,"[""crushing"", ""kingsideAttack"", ""middlegame"", ""short""]"
LcrR4,6k1/1p4p1/p1r4p/3R4/3P1q2/3Q4/PP4KP/8 w - - 0 28,d5d8 g8f7 d3b3 f7e7 b3b7 c6c7,2065,"[""crushing"", ""endgame"", ""long""]"
h3yxs,r1bqk2r/ppp2ppp/2n5/2bp4/3pn3/1B1Q1N2/PPP2PPP/RNB1R1K1 b kq - 1 8,c6b4 d3b5 e8f8 e1e4 d5e4 b5c5 d8e7 c5e7,2305,"[""advantage"", ""capturingDefender"", ""fork"", ""opening"", ""veryLong""]"
4zrg6,1k2r3/1pp2p2/p1b1q3/2Q1P2p/P5pN/6P1/1P3PP1/3R2K1 b - - 0 27,e6e5 d1d8 e8d8 c5e5,1320,"[""advantage"", ""deflection"", ""endgame"", ""short""]"
RiG2K,r1r3k1/3np1bp/2npp1p1/qp6/4P3/1PN1BP2/P2QB1PP/2RR2K1 w - - 0 17,e2b5 g7c3 c1c3 a5b5,1246,"[""advantage"", ""capturingDefender"", ""intermezzo"", ""master"", ""middlegame"", ""short""]"
ACU9Y,rnb1k2r/ppp3pp/8/4q3/1bP5/3BR3/PP1N1KPP/R2Q4 b kq - 0 15,b4c5 d1h5 e8d8 h5e5,1685,"[""middlegame""]"
J0VpG,5rk1/7p/p1p1Q1p1/qr1pn3/N7/P4P2/P1P2P2/R4KR1 b - - 0 23,e5f7 g1g6 h7g6 e6g6 g8h8 f1g2,1860,"[""crushing"", ""defensiveMove"", ""kingsideAttack"", ""long"", ""middlegame"", ""sacrifice""]"
qB6Gq,3Q4/5ppk/7p/1pqNp2n/2p1P3/5P1P/1P3P2/6K1 b - - 1 30,h5f4 d5e7 f4h3 g1h1 c5e7 d8e7,2141,"[""crushing"", ""defensiveMove"", ""endgame"", ""long"", ""quietMove""]"
9EZ9G,6k1/6p1/3R3p/1p2P3/1P1PNn2/P7/7r/4K3 w - - 4 49,e5e6 h2e2 e1f1 e2e4,1327,"[""advantage"", ""endgame"", ""fork"", ""short""]"
OZMuh,1Q6/pp3rkp/4pN2/3p4/3Pb3/4P3/PPq3PP/R5K1 w - - 3 28,f6h5 g7h6 h5f4 c2d2 a1f1 d2e3,2671,"[""crushing"", ""endgame"", ""long""]"
22KWy,3r3k/2p3p1/8/5p1p/5q2/1P3P1P/P1Q3P1/2R4K w - - 1 41,c2c7 d8d1 c1d1 f4c7,1319,"[""advantage"", ""deflection"", ""endgame"", ""short""]"
R4CSY,2kq2r1/2B5/2R4p/p7/3b4/1Q6/PP3Pr1/2R3K1 w - - 0 29,g1f1 g2f2 f1e1 g8g1,1750,"[""mate"", ""mateIn2"", ""middlegame"", ""short""]"
ZCDqV,4Q1kr/8/3p1q2/2p1bNp1/2P1P3/3P3P/6P1/7K b - - 3 36,f6f8 f5e7 g8h7 e8g6,1701,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
e6O0K,8/8/2R1k3/1p2P2p/pP5P/r5r1/2K1R3/8 b - - 1 76,e6d5 c6d6 d5c4 e2e4,1777,"[""endgame"", ""mate"", ""mateIn2"", ""rookEndgame"", ""short""]"
Hq9PG,1k1r1r2/p1p3pp/Qp2p3/n2bPp2/P2P4/2P3P1/5P1P/R3K1R1 w Q - 3 19,a1c1 d5c4 a6a5 b6a5,1348,"[""advantage"", ""middlegame"", ""short"", ""trappedPiece""]"
5V5vP,8/1b4k1/4N1q1/3p3p/p4Q2/3Pp3/2P3PK/8 b - - 2 52,g7h7 e6f8 h7g7 f8g6,1188,"[""crushing"", ""endgame"", ""fork"", ""master"", ""short""]"
WmhWj,2k4r/ppp2p1p/5n2/5P2/1Pr1P1P1/P1N4P/8/R3K2R w KQ - 0 20,e1d2 h8d8 d2e2 c4c3,1539,"[""crushing"", ""deflection"", ""endgame"", ""short""]"
jYEmV,8/k4q2/1p1p4/p2Pp2p/4Q1pP/2PP2P1/5PK1/8 w - - 0 36,c3c4 f7f3 e4f3 g4f3 g2f3 a5a4,1576,"[""crushing"", ""defensiveMove"", ""endgame"", ""long"", ""queenEndgame""]"
qnwA4,r4rk1/p1p2ppp/1pB1p3/3n4/1qPP4/5Q2/PP3PPP/R4K1R b - - 2 16,b4b2 a1e1 a8d8 c4d5,1952,"[""advantage"", ""middlegame"", ""short""]"
xyiz2,r1b2rk1/1p1pQ1pp/p1p2p2/3q1P1B/P7/8/1P4PP/4RR1K b - - 5 25,d7d6 e7f8 g8f8 e1e8,1642,"[""attraction"", ""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""operaMate"", ""sacrifice"", ""short""]"
NeRQh,6k1/p4r1p/1p1p4/n4p2/3P1Q2/2P4P/PP6/2KBr3 b - - 1 29,a5c4 f4g3 f7g7 g3e1,1533,"[""crushing"", ""endgame"", ""fork"", ""short""]"
RghuZ,6k1/5pp1/p2b3P/3pN3/1p1PnP1Q/4B1R1/PPr1q1P1/6K1 b - - 0 30,e4g3 h6h7 g8h8 e5f7,1833,"[""advancedPawn"", ""deflection"", ""kingsideAttack"", ""mate"", ""mateIn2"", ""middlegame"", ""short""]"
eQuQu,2b3rk/p1P2r1p/R3p3/qB1pb3/8/P2Q2N1/5PpP/2R3K1 b - - 3 38,f7c7 a6a5 c7c1 g1g2,1950,"[""advantage"", ""master"", ""middlegame"", ""short""]"
ec1BK,8/5k2/2K5/8/ppp5/5PP1/PPP5/8 w - - 0 39,c6b5 b4b3 a2b3 c4c3 b2c3 a4a3,1744,"[""crushing"", ""endgame"", ""long"", ""pawnEndgame"", ""sacrifice""]"
6fxxo,6rk/1p5p/p1b5/4pn2/P7/2P1BqPQ/2P2P2/3R1RK1 w - - 6 29,d1d3 f5g3 e3g5 g3e2 g1h2 f3h3 h2h3 g8g5,2191,"[""crushing"", ""discoveredAttack"", ""master"", ""middlegame"", ""pin"", ""veryLong""]"
6Ntv8,2kr1b1r/ppp1qppp/2n2n2/8/Q7/2N2N2/PP1PbPPP/R1B1R1K1 b - - 5 10,c6d4 f3d4 e2b5 a4d1 e7d7 d4b5,2365,"[""advantage"", ""long"", ""opening"", ""quietMove""]"
aDduR,5k2/p6p/1ppr1Npn/2p2pP1/5P2/2P4P/PP4K1/4R3 b - - 0 26,h6f7 e1e8 f8g7 e8g8,1077,"[""endgame"", ""hookMate"", ""mate"", ""mateIn2"", ""short""]"
SKqMb,5r2/2p4p/1k6/2N3b1/1P2P3/P3K3/2P3PP/2R5 w - - 3 37,e3d3 f8d8 d3c4 g5c1,1590,"[""advantage"", ""endgame"", ""short""]"
9DaOA,8/8/8/1R5P/8/2k5/1p5r/1K6 w - - 4 61,h5h6 h2h1 b1a2 h1a1,1457,"[""endgame"", ""mate"", ""mateIn2"", ""rookEndgame"", ""short""]"
UzYHc,r2k3N/ppp1q1pp/3p4/2b1p2B/4Pp2/2NP1b1P/PPP2n2/R1B1QRK1 w - - 0 16,h5f3 f2d3 c1e3 d3e1,2340,"[""advantage"", ""discoveredAttack"", ""discoveredCheck"", ""kingsideAttack"", ""middlegame"", ""short""]"
zzDn9,r4rk1/1p4pp/2p1p1q1/p2nPpn1/P7/2B1PP2/1P4PP/R1RBQ1K1 w - - 1 24,d1c2 g5f3 g1h1 f3e1,1041,"[""crushing"", ""kingsideAttack"", ""middlegame"", ""pin"", ""short""]"
o1D55,r2bnr1k/3nNp1p/5PpQ/pp2p1P1/3pq3/1N2BR2/PP2K2P/R7 b - - 1 24,d4e3 h6h7 h8h7 f3h3 e4h4 h3h4,1837,"[""attraction"", ""kingsideAttack"", ""long"", ""mate"", ""mateIn3"", ""middlegame"", ""sacrifice""]"
uTepg,2r2rk1/pp3ppp/2n5/3pNQN1/3Pn3/qP6/P4PPP/2RR2K1 b - - 8 19,c6d4 f5h7,1283,"[""kingsideAttack"", ""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
HCqfX,1r3r2/b4k2/p2p1p2/1p1P4/1P5R/P1P2K1P/5P2/6R1 b - - 0 32,f8g8 h4h7 f7f8 g1g8 f8g8 h7a7,1332,"[""crushing"", ""endgame"", ""long""]"
hBY9P,r7/3b2pk/p1p4p/5p2/1q1N4/1P2Q3/P1P2PPP/4R1K1 w - - 6 24,h2h3 a8e8 d4f3 e8e3,1471,"[""crushing"", ""endgame"", ""short""]"
fGmcm,5Q2/P1krn3/2pp1p2/5P2/2P1P1p1/3PK3/2PR2Pr/2q5 b - - 0 31,h2g2 f8b8,1278,"[""dovetailMate"", ""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
bEKvz,r3kr2/p1p2B1p/1p1p1Q2/3P4/4P3/3Pq1Pb/PP5P/5R1K b - - 0 24,e8d7 f7e6 h3e6 f6e6 d7d8 f1f8,1581,"[""interference"", ""long"", ""mate"", ""mateIn3"", ""middlegame""]"
XpaCQ,r1bq1rk1/ppp2p2/1bnp2np/1B4NQ/3PP2B/2N5/PP3PPP/R4RK1 b - - 2 12,g6h4 h5h6 d8g5 h6g5,1395,"[""advantage"", ""kingsideAttack"", ""middlegame"", ""short""]"
3Ba4z,8/4pp2/7p/2k3p1/4K1P1/2P5/5P1P/8 b - - 4 47,e7e6 e4e5 f7f5 g4f5,1423,"[""crushing"", ""endgame"", ""pawnEndgame"", ""short""]"
hJrGS,8/5pkp/4p3/7r/8/4PPq1/6P1/3R1QK1 w - - 1 42,f1f2 h5h1 g1h1 g3f2,1751,"[""crushing"", ""deflection"", ""endgame"", ""master"", ""short""]"
84Z3I,8/ppk1q1p1/2p2p2/Q3n3/2P1P3/7B/PP3r2/1K1R4 b - - 1 28,c7b8 d1d8 e7d8 a5d8,1018,"[""endgame"", ""mate"", ""mateIn2"", ""short""]"
26A23,8/8/8/p5K1/P3k3/1P6/8/8 w - - 2 59,b3b4 a5b4 a4a5 e4d5 g5f4 b4b3 a5a6 d5c6 a6a7 c6b7 a7a8q b7a8 f4e3 b3b2,1962,"[""advancedPawn"", ""crushing"", ""endgame"", ""pawnEndgame"", ""veryLong""]"
F4SGh,r1bq1rk1/1p1nb2p/p3pppQ/2ppP3/5B2/P1PBPN2/1P3PPP/R3K2R b KQ - 1 13,f6e5 d3g6 h7g6 h6g6,1825,"[""crushing"", ""kingsideAttack"", ""master"", ""middlegame"", ""short""]"
AV6Jb,5rk1/pp5p/7n/4B1p1/1q1P2P1/4PrQ1/5PK1/5R1R w - - 6 35,g3h2 f3f2 f1f2 f8f2 g2f2 h6g4 f2g3 g4h2,1821,"[""advantage"", ""attraction"", ""fork"", ""middlegame"", ""sacrifice"", ""veryLong""]"
S2fzQ,5rk1/p4ppp/4p3/5b2/8/5B2/qP1Q2PP/3RK3 b - - 0 24,f8c8 d2d8 c8d8 d1d8,574,"[""backRankMate"", ""endgame"", ""mate"", ""mateIn2"", ""sacrifice"", ""short""]"
mJvm1,4R3/kpN4p/2p5/P3P1r1/3K4/3n4/8/8 b - - 4 42,d3e5 e8a8,1062,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
Uz5SM,8/6k1/2R3pp/pNb5/P1r5/6P1/1P4P1/7K w - - 0 40,b5d6 c4c1 h1h2 c5g1 h2h3 c1c6,1110,"[""crushing"", ""discoveredAttack"", ""endgame"", ""long""]"
xaANx,8/8/KP6/6p1/6bp/1P1k4/3N4/8 b - - 0 56,h4h3 b6b7 h3h2 d2e4 d3e3 e4g3,2478,"[""advancedPawn"", ""crushing"", ""defensiveMove"", ""endgame"", ""long""]"
I08Gr,8/R6P/4k3/4p1K1/8/8/8/7r b - - 6 69,e5e4 a7a6 e6e5 a6h6 h1g1 g5h5 e5f5 h6f6 f5f6 h7h8q,2307,"[""advancedPawn"", ""attraction"", ""crushing"", ""endgame"", ""promotion"", ""rookEndgame"", ""veryLong""]"
cRHiH,2kr2r1/Qp3p2/3q1n2/8/N1P5/1B3P1b/PPpK1P2/R3R3 w - - 0 25,d2c1 d6d2,1708,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
pWIC9,4r1k1/R4pp1/3p4/p1pP1q2/2P4p/P1P4P/3Q1PP1/6K1 w - - 2 33,a7a5 f5b1 g1h2 e8e1 d2e1 b1e1,1303,"[""crushing"", ""endgame"", ""long"", ""quietMove""]"
PcD4E,8/2R5/7p/P4p2/3p4/2p4P/4knP1/2K5 w - - 5 49,c7e7 f2e4 e7d7 d4d3,1491,"[""crushing"", ""defensiveMove"", ""endgame"", ""master"", ""short""]"
H2wPH,2kr3r/ppp2ppp/2n5/8/2b5/1N1BBP2/PqP3PP/R2Q1RK1 w - - 2 15,d1e2 c4d3 e2d3 d8d3,1229,"[""crushing"", ""middlegame"", ""short""]"
fo0tX,1r6/p2r1pkp/4p1p1/8/1qRpQ3/1P6/P4PPP/3R2K1 b - - 5 27,b4a3 e4e5 f7f6 e5b8,1333,"[""advantage"", ""endgame"", ""fork"", ""short""]"
Yqvr1,r6r/pp1bQpk1/1q2p3/3N1p2/3p1n2/P1P5/2P2PPP/R4RK1 w - - 3 20,d5b6 f4e2 g1h1 h8h2 h1h2 a8h8 e7h4 h8h4,1517,"[""anastasiaMate"", ""attraction"", ""kingsideAttack"", ""mate"", ""mateIn4"", ""middlegame"", ""sacrifice"", ""veryLong""]"
gHkWF,r3r1k1/3b1pp1/2q2n1p/1Pp5/p2pNP2/P2P3P/BP1Q2P1/4RRK1 b - - 0 23,f6e4 b5c6 e4d2 c6d7,2037,"[""advancedPawn"", ""crushing"", ""middlegame"", ""short""]"
13CYh,8/2p5/1k1p4/3P4/P1K5/3R4/8/1r6 w - - 5 70,d3b3 b1b3 c4b3 b6c5 a4a5 c5d5 a5a6 d5c6 b3c4 c6b6,1973,"[""crushing"", ""endgame"", ""rookEndgame"", ""veryLong""]"
CUslR,8/1b3p1p/p3p1p1/2p4k/2P2QP1/q4P1P/1r6/3R3K b - - 0 33,h5h4 g4g5 h4h5 f4g4,2087,"[""discoveredAttack"", ""discoveredCheck"", ""endgame"", ""mate"", ""mateIn2"", ""short""]"
q39V9,rn2k2r/ppq2ppp/3bpnb1/3p4/3P3N/1QP5/PP2BPPP/RNB2RK1 w kq - 5 10,h4g6 d6h2 g1h1 h7g6,1541,"[""crushing"", ""intermezzo"", ""opening"", ""short""]"
jvqpM,4r1k1/5p1p/p2b2pQ/1p4N1/3p2P1/1P3q2/1P5P/1KR5 b - - 1 28,f3b3 h6h7 g8f8 h7h8,1529,"[""advantage"", ""endgame"", ""short""]"
9xjRZ,8/pppk2pp/4p3/2P1P3/1P6/P5P1/4K2P/8 w - - 1 36,b4b5 c7c6 b5b6 a7b6,1324,"[""advantage"", ""endgame"", ""master"", ""pawnEndgame"", ""short""]"
2XSJr,4rrk1/pb4pn/1p2p2p/2p1Pp2/3P3q/1P2PBR1/PB3QPP/R5K1 b - - 4 23,b7f3 g3g7 g8g7 f2h4,1681,"[""advantage"", ""discoveredAttack"", ""kingsideAttack"", ""middlegame"", ""short""]"
Yskzf,r3r1k1/p1pq1ppp/1p1p1n2/P2P2B1/2NbPP1Q/3B4/P5PP/5R1K b - - 4 19,d7g4 g5f6 g4h4 f6h4,1403,"[""advantage"", ""middlegame"", ""short""]"
vfFWU,r4r1k/p3bpp1/1q2p2p/2pp4/3Pn3/1PP1B2Q/P3NPPP/R4RK1 b - - 2 17,c5d4 e3d4 h8g8 d4b6,1362,"[""advantage"", ""middlegame"", ""short""]"
RSTvR,r1b1k2r/pp2qp1p/2n3pQ/4B3/n7/1N1B4/P1P2PPP/R3K2R w KQkq - 1 14,h6g7 e7e5 g7e5 c6e5,1365,"[""advantage"", ""middlegame"", ""short""]"
7CAJZ,8/8/4bpk1/8/4P1p1/2r2PK1/3R4/6R1 w - - 0 57,g3f4 c3f3,586,"[""endgame"", ""master"", ""mate"", ""mateIn1"", ""oneMove"", ""pillsburysMate""]"
NEQTG,r3kr2/1pp2p1Q/p2p4/6q1/2NPP2b/2P4P/PP3Pp1/1K1R2NR w q - 0 18,g1f3 g2h1q c4d6 c7d6,1299,"[""advancedPawn"", ""advantage"", ""middlegame"", ""promotion"", ""short""]"
XvTLD,3r1rk1/pp1q1ppp/8/3nQ3/8/1P6/PB3PPP/RN4K1 b - - 0 17,f8e8 e5g7,785,"[""kingsideAttack"", ""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
KF7EM,5rk1/1rp2ppp/8/8/4R3/Q7/PPq5/4R1K1 b - - 3 33,c2b2 a3f8 g8f8 e4e8,1372,"[""attraction"", ""endgame"", ""mate"", ""mateIn2"", ""sacrifice"", ""short""]"
OJVg5,r2qk2r/pp1n1pb1/4pn2/6N1/2Qp3p/4PN1P/PP3PPB/R3K2R w KQkq - 0 15,f3d4 d8a5 b2b4 a5g5 d4e6 f7e6 c4e6 e8d8,2058,"[""advantage"", ""fork"", ""middlegame"", ""veryLong""]"
8zInG,r1b2rk1/3nppbp/p2p2p1/q1pP4/NpP1n3/1P2B2P/P1QN1PP1/3RKB1R b K - 1 13,d7f6 d2e4 f6e4 c2e4,943,"[""advantage"", ""middlegame"", ""short""]"
9AjUf,r1bq1rk1/ppp2p2/2n4p/3n3Q/2BP3N/2P5/P4PPP/R4RK1 b - - 1 13,d5f6 h5g6 g8h8 g6h6 f6h7 c4d3 d8h4 h6h4,1975,"[""crushing"", ""kingsideAttack"", ""middlegame"", ""pin"", ""veryLong""]"
PIMFO,6r1/2pBk3/1pPp1pr1/p3p3/P3Pp1b/2R2P1P/qP2R1P1/3Q1K2 w - - 0 30,b2b3 g6g2 e2a2 g2g1 f1e2 g8g2 e2d3 g1d1,1719,"[""crushing"", ""middlegame"", ""sacrifice"", ""veryLong""]"
taTuj,3rr1k1/1b2pp2/1p3bp1/q1p4p/2P2Q2/1B5N/P4PPP/3R1RK1 b - - 3 24,a5c3 d1d8 e8d8 f4c7 c3d4 c7b7,1642,"[""advantage"", ""fork"", ""long"", ""middlegame""]"
35HY2,8/p1p3k1/1p2P3/8/1B1PP1p1/7B/P1K3Pr/8 w - - 0 30,e6e7 g7f7 h3g4 h2g2 b4d2 g2g4,1583,"[""crushing"", ""endgame"", ""exposedKing"", ""fork"", ""long""]"
GcnLg,2r1r1k1/4pp2/p2B3p/P7/1p1b3P/8/1PP1RPK1/4R3 w - - 0 30,b2b3 d4c3 d6f4 c3e1,1689,"[""crushing"", ""endgame"", ""master"", ""masterVsMaster"", ""short""]"
8UwFy,1k1r4/1pp3rp/p1n5/1N6/4Rp2/2P2B1b/PP3PPP/R5K1 w - - 0 30,b5a3 h3g2 f3g2 f4f3 a3c4 g7g2,2028,"[""crushing"", ""intermezzo"", ""kingsideAttack"", ""long"", ""middlegame"", ""pin"", ""sacrifice""]"
e1U4w,3r4/4kp2/p5p1/4P1P1/2pRK2P/P7/8/8 b - - 0 36,c4c3 d4d8 e7d8 e4d3 c3c2 d3c2,1312,"[""crushing"", ""endgame"", ""long"", ""rookEndgame""]"
iUwAp,6k1/5p1p/4N1p1/3nQ3/8/4P2P/5PPK/4q3 b - - 2 31,e1f2 e5g7,942,"[""endgame"", ""mate"", ""mateIn1"", ""oneMove""]"
1nbNk,4rrk1/ppp3pp/3p4/3P2q1/1BP1np2/P4B1b/1P3PPP/R2Q1RK1 w - - 0 17,f1e1 h3g2 f3g2 f4f3 d1f3 f8f3,1859,"[""crushing"", ""long"", ""middlegame"", ""pin"", ""sacrifice""]"
hr1ir,8/8/6pk/5P2/4K1P1/8/8/8 b - - 0 51,g6f5 e4f5 h6g7 f5g5,1951,"[""crushing"", ""defensiveMove"", ""endgame"", ""pawnEndgame"", ""short"", ""zugzwang""]"
vYORc,8/5p2/3kp1p1/6P1/3NPPb1/4K3/8/8 w - - 7 41,d4f3 g4f3 e3f3 d6c5 f3e3 c5c4,2003,"[""crushing"", ""defensiveMove"", ""endgame"", ""long"", ""zugzwang""]"
198eP,6k1/7p/p3p1pb/1p2P3/1PpP2P1/P3BK1P/8/8 b - - 0 42,g8g7 g4g5 h6g5 e3g5,1602,"[""bishopEndgame"", ""crushing"", ""endgame"", ""short"", ""trappedPiece""]"
a2vtE,4rknQ/3R4/p4pP1/1p2pP2/6K1/3P1R2/P7/7q b - - 2 34,h1h8 d7f7,1141,"[""endgame"", ""master"", ""mate"", ""mateIn1"", ""oneMove""]"
QhbkV,r4rk1/pp2p1bp/4p1p1/6N1/6n1/3nqP1P/PPQ3P1/RNB2K1R w - - 1 18,h3g4 e3e1,1074,"[""mate"", ""mateIn1"", ""middlegame"", ""oneMove""]"
gt9Q2,4rrk1/2q2ppn/p2R3p/1pn1P3/8/1PN2N1P/1PP1QPP1/3R2K1 w - - 1 20,c3d5 c7d6 e5d6 e8e2,1307,"[""advantage"", ""middlegame"", ""short""]"
V210g,4rrk1/1p5N/4p1p1/1p1pB3/8/3B2R1/qP2KP2/8 b - - 0 40,g8h7 g3h3 h7g8 h3h8 g8f7 h8h7,2482,"[""advantage"", ""endgame"", ""long""]"
JyygJ,1k2r3/4q3/pr2B2p/1p1p4/5Q2/2P3P1/PP4KP/4R3 b - - 3 31,b8a7 e6d5 e7d7 e1e8,1883,"[""advantage"", ""discoveredAttack"", ""endgame"", ""short""]"
nkgqQ,r1b3kr/3n1Qp1/1q2p2p/1N2P3/4R3/8/PPP3PP/2K2R2 b - - 0 22,g8h7 f7g7 h7g7 e4g4 g7h7 f1f7,2293,"[""attraction"", ""long"", ""master"", ""mate"", ""mateIn3"", ""middlegame"", ""sacrifice""]"
oaNjl,8/8/8/1p1r4/2p5/2B4R/1Pk2K1P/8 w - - 3 43,f2e3 d5d3 e3e4 d3h3,901,"[""crushing"", ""endgame"", ""short"", ""skewer""]"
CF3EU,8/4k3/1p2b1pp/1Br1P3/p3Kp1P/P4P2/1P1R4/8 w - - 3 49,b5a4 c5c4 e4d3 c4a4,910,"[""crushing"", ""endgame"", ""fork"", ""master"", ""short""]"
RKFZl,4k3/8/rRK2pp1/2P1p3/8/3P4/8/8 b - - 16 46,a6a7 b6b8 e8e7 b8b7 a7b7 c6b7 f6f5 c5c6,1897,"[""crushing"", ""endgame"", ""exposedKing"", ""rookEndgame"", ""veryLong""]"
eEBC0,8/8/8/8/2P1Q1pk/1P6/Pq3K2/8 w - - 5 35,e4e2 g4g3 f2f3 b2e2 f3e2 h4h3,2186,"[""crushing"", ""defensiveMove"", ""endgame"", ""exposedKing"", ""long"", ""queenEndgame""]"
5x3ow,2kr1b1r/p1pb1ppp/2pp2q1/3P4/8/2N1BQ2/PPP2PPP/2KR3R b - - 0 13,d7g4 f3f4 g4d1 h1d1,2396,"[""crushing"", ""master"", ""middlegame"", ""sacrifice"", ""short""]"
d8gno,r5k1/pp2q1p1/3b4/2p3pQ/2n1N3/4P3/PPP3PP/5RK1 b - - 0 20,c4e3 e4g5 d6h2 g1h1 e7g5 h5g5,2002,"[""advantage"", ""long"", ""middlegame""]"
JqlmU,r1bq1rk1/pppn1p1p/3p2p1/8/2PPP1n1/2N1bNP1/PP2P1BP/R1BQR1K1 w - - 1 13,g1h1 g4f2 h1g1 f2d1,940,"[""crushing"", ""discoveredAttack"", ""discoveredCheck"", ""fork"", ""master"", ""opening"", ""short""]"
FDciG,8/1R4P1/7P/8/8/2kp4/1p4r1/1K6 w - - 9 74,h6h7 g2g1 b1a2 g1a1,1506,"[""endgame"", ""mate"", ""mateIn2"", ""rookEndgame"", ""short""]"
LGXfm,r1b1k2r/p1p2p1p/2pp1npB/2b5/4P3/2NB1P2/PPP2P1P/R3K1R1 b Qkq - 1 11,a7a5 h6g7 f6h5 g7h8,1398,"[""crushing"", ""fork"", ""master"", ""middlegame"", ""short""]"
